Obs,ObsCC
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.000007
0,0.000371
0,0.00176
0,0.004389
0,0.008193
0,0.01324
0,0.018899
0.000001,0.025151
0.000003,0.032096
0.000008,0.039729
0.000022,0.04822
0.000069,0.057986
0.000175,0.068333
0.000314,0.077883
0.000679,0.088835
0.001588,0.100983
0.002677,0.113059
0.003862,0.123395
0.005647,0.134306
0.008538,0.146149
0.013292,0.158551
0.020363,0.170534
0.026517,0.181761
0.036458,0.193918
0.055015,0.207155
0.071186,0.219257
0.087813,0.230623
0.122429,0.243656
0.155341,0.256355
0.191611,0.268536
0.225737,0.279944
0.29084,0.291499
0.37102,0.304115
0.419903,0.315118
0.481675,0.326459
0.540699,0.337492
0.613647,0.348309
0.736205,0.3597
0.846161,0.370202
0.939198,0.380043
1.087825,0.390163
1.25231,0.39986
1.408595,0.409438
1.513253,0.417668
1.722052,0.426562
1.873989,0.434287
1.982195,0.441244
2.248778,0.448878
2.352517,0.454653
2.545793,0.46078
2.719512,0.465971
2.941986,0.47069
3.203138,0.47486
3.419931,0.478347
3.70637,0.481311
3.922838,0.483513
4.054386,0.48497
4.167958,0.48579
4.29385,0.486031
4.55888,0.485619
4.740989,0.484559
4.900467,0.482784
5.090149,0.480316
5.282631,0.477191
5.425708,0.473317
5.623715,0.468541
5.906233,0.462436
6.17625,0.455433
6.424162,0.448078
6.516494,0.440831
6.797013,0.431345
7.032077,0.421396
7.144695,0.411024
7.239597,0.400015
7.426381,0.387339
7.687993,0.372528
7.850625,0.356925
8.08282,0.339747
8.258595,0.321833
8.400027,0.303311
8.538288,0.283376
8.685581,0.262427
8.822649,0.240049
8.956544,0.215296
9.104068,0.189058
9.237096,0.162273
9.368451,0.131957
9.411989,0.104867
9.439438,0.077672
9.487586,0.044375
9.524063,0.010407
9.538618,0.000001
9.545268,0.000001
9.550922,0.000001
9.556113,0.000001
9.56138,0.000001
9.565764,0.000001
9.569916,0.000001
9.573842,0.000001
9.577329,0.000001
9.580432,0.000001
9.583364,0.000001
9.586131,0.000001
9.588545,0.000001
9.590775,0.000001
9.592965,0.000001
9.594938,0.000001
9.596712,0.000001
9.598295,0.000001
9.599655,0.000001
9.600996,0.000001
9.602177,0.000001
9.603174,0.000001
9.604226,0.000001
9.605106,0.000001
9.605919,0.000001
9.606678,0.000001
9.607322,0.000001
9.607936,0.000001
9.60851,0.000001
9.609006,0.000001
9.609469,0.000001
9.609902,0.000001
9.610305,0.000001
9.610614,0.000001
9.610913,0.000001
9.611187,0.000001
